policy,base_model,base_portfolio_size,period,months,bear_months,avg_exposure,total_return,bist100_total_return,excess_return_vs_bist100,max_drawdown,bist100_max_drawdown,win_rate,robustness_score
defensive_mode,low_volatility,3,validation,24,0,1.0,4.153851646311168,3.2415637612067236,0.912287885104444,-0.10623607070751806,-0.1617839465479347,0.6666666666666666,1.0331490770227412
defensive_mode,low_volatility,5,out_of_sample,32,7,1.0,0.30894235089836375,0.590013878393095,-0.2810715274947313,-0.22486786738649245,-0.1675447420399082,0.5,-0.4808072622677162
defensive_mode,low_volatility,5,train,39,12,1.0,1.4654932817831594,1.2208251837732145,0.24466809800994493,-0.22339339040123718,-0.24757740982109977,0.5897435897435898,0.09275311207926545
defensive_mode,low_volatility,5,validation,24,0,1.0,4.3503160434110555,3.2415637612067236,1.1087522822043319,-0.11155258237681942,-0.1617839465479347,0.7083333333333334,1.2398137841173598
defensive_mode,low_volatility,10,out_of_sample,32,7,1.0,0.30731127459207186,0.590013878393095,-0.2827026038010232,-0.16094256504948945,-0.1675447420399082,0.5,-0.3545877339000021
defensive_mode,low_volatility,10,train,39,12,1.0,1.7048452091511739,1.2208251837732145,0.4840200253779594,-0.22565620551200327,-0.24757740982109977,0.5641025641025641,0.3147588964052349
defensive_mode,low_volatility,10,validation,24,0,1.0,3.842829867273597,3.2415637612067236,0.6012661060668734,-0.10463179006203294,-0.1617839465479347,0.6666666666666666,0.7253358592761407
defensive_mode,low_volatility,15,out_of_sample,32,7,1.0,0.43041405987042736,0.590013878393095,-0.1595998185226677,-0.1660570557035137,-0.1675447420399082,0.53125,-0.2260889299296951
defensive_mode,low_volatility,15,train,39,12,1.0,1.5565758418198326,1.2208251837732145,0.3357506580466181,-0.24569923103666425,-0.24757740982109977,0.6153846153846154,0.1520445036655973
defensive_mode,low_volatility,15,validation,24,0,1.0,3.5934105015083277,3.2415637612067236,0.3518467403016041,-0.10263767867865359,-0.1617839465479347,0.6666666666666666,0.47990471627763026
defensive_mode,mixed_model,3,out_of_sample,32,7,1.0,0.31537463640081476,0.590013878393095,-0.2746392419922803,-0.1873520846895822,-0.1675447420399082,0.53125,-0.3837184113714447
defensive_mode,mixed_model,3,train,39,12,1.0,0.9947223763297839,1.2208251837732145,-0.2261028074434306,-0.34552817980743644,-0.24757740982109977,0.6153846153846154,-0.6094668593659958
defensive_mode,mixed_model,3,validation,24,0,1.0,4.533457298360859,3.2415637612067236,1.2918935371541354,-0.1168213568437314,-0.1617839465479347,0.6666666666666666,1.3915841568000058
defensive_mode,mixed_model,5,out_of_sample,32,7,1.0,0.3364403661893056,0.590013878393095,-0.25357351220378943,-0.19440535246968693,-0.1675447420399082,0.5,-0.3923842171431633
defensive_mode,mixed_model,5,train,39,12,1.0,2.164414876406588,1.2208251837732145,0.9435896926333736,-0.24519634952542868,-0.24757740982109977,0.6666666666666666,0.7865303269158495
defensive_mode,mixed_model,5,validation,24,0,1.0,4.79545106599657,3.2415637612067236,1.5538873047898463,-0.10584547903144381,-0.1617839465479347,0.625,1.6546963467269586
defensive_mode,mixed_model,10,out_of_sample,32,7,1.0,0.3852219975726685,0.590013878393095,-0.20479188082042654,-0.1903896009616488,-0.1675447420399082,0.46875,-0.35119608274372416
defensive_mode,mixed_model,10,train,39,12,1.0,1.9332772894453023,1.2208251837732145,0.7124521056720878,-0.24564799996354858,-0.24757740982109977,0.6153846153846154,0.5288484134372984
defensive_mode,mixed_model,10,validation,24,0,1.0,3.856381374157082,3.2415637612067236,0.6148176129503584,-0.12319348059069124,-0.1617839465479347,0.6666666666666666,0.7017639851023092
defensive_mode,mixed_model,15,out_of_sample,32,7,1.0,0.47417337917709257,0.590013878393095,-0.11584049921600248,-0.1756862867767356,-0.1675447420399082,0.53125,-0.20158807276947366
defensive_mode,mixed_model,15,train,39,12,1.0,1.4996160641575336,1.2208251837732145,0.2787908803843191,-0.2563730737256851,-0.24757740982109977,0.6153846153846154,0.07373704062525666
defensive_mode,mixed_model,15,validation,24,0,1.0,3.5334037285010282,3.2415637612067236,0.2918399672943046,-0.10614260540352516,-0.1617839465479347,0.6666666666666666,0.4128880898205876
defensive_mode,momentum_heavy,3,out_of_sample,32,7,1.0,0.5723710422190234,0.590013878393095,-0.017642836174071697,-0.16603701972215779,-0.1675447420399082,0.5625,-0.06846687561838727
defensive_mode,momentum_heavy,3,train,39,12,1.0,1.0662109310598389,1.2208251837732145,-0.1546142527133756,-0.33801551575703104,-0.24757740982109977,0.6410256410256411,-0.5101324637146172
defensive_mode,momentum_heavy,3,validation,24,0,1.0,4.780797346687794,3.2415637612067236,1.5392335854810701,-0.1168213568437313,-0.1617839465479347,0.625,1.6180908717936076
defensive_mode,momentum_heavy,5,out_of_sample,32,7,1.0,0.34064520489983763,0.590013878393095,-0.24936867349325742,-0.20100327371598803,-0.1675447420399082,0.53125,-0.3857502209252335
defensive_mode,momentum_heavy,5,train,39,12,1.0,1.8322920875283848,1.2208251837732145,0.6114669037551703,-0.24519634952542857,-0.24757740982109977,0.6153846153846154,0.4287665123966209
defensive_mode,momentum_heavy,5,validation,24,0,1.0,3.95780178965662,3.2415637612067236,0.7162380284498964,-0.15423267857670753,-0.1617839465479347,0.625,0.7202726712964813
defensive_mode,momentum_heavy,10,out_of_sample,32,7,1.0,0.33086339076609694,0.590013878393095,-0.2591504876269981,-0.19930272596767928,-0.1675447420399082,0.46875,-0.4233809395623567
